S,I,R,SuperSpreader
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,19.0,40.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
